kT,B,Energy,Magnetization,Domain Number,Mean Domains Size
0.5,0.0,-1022.4,255.8,1.0,255.9
0.5,0.5,-1138.47,254.22,1.0,255.11
0.5,1.0,-1263.52,253.68,1.0,254.84
0.5,1.5,-1407.81,255.98,1.0,255.99
0.5,2.0,-1471.24,244.98,1.0,250.49
0.5,2.5,-1660.43,255.66,1.0,255.83
0.6,0.0,-1024.0,256.0,1.0,256.0
0.6,0.5,-1152.0,256.0,1.0,256.0
0.6,1.0,-1278.02,255.78,1.0,255.89
0.6,1.5,-1394.44,254.48,1.0,255.24
0.6,2.0,-1534.6,255.86,1.0,255.93
0.6,2.5,-1616.28,250.0,1.0,253.0
0.7,0.0,-987.52,246.9,1.0,251.45
0.7,0.5,-1152.0,256.0,1.0,256.0
0.7,1.0,-1200.76,238.84,1.0,247.42
0.7,1.5,-1385.73,252.62,1.0,254.31
0.7,2.0,-1521.12,254.24,1.0,255.12
0.7,2.5,-1585.41,245.78,1.0,250.89
0.7999999999999999,0.0,-982.64,247.02,1.0,251.51
0.7999999999999999,0.5,-1111.96,246.64,1.0,251.32
0.7999999999999999,1.0,-1274.76,255.4,1.0,255.7
0.7999999999999999,1.5,-1403.26,255.4,1.0,255.7
0.7999999999999999,2.0,-1530.76,255.46,1.0,255.73
0.7999999999999999,2.5,-1536.03,234.06,1.0,245.03
0.8999999999999999,0.0,-1006.88,252.76,1.0,254.38
0.8999999999999999,0.5,-1126.18,250.44,1.0,253.22
0.8999999999999999,1.0,-1275.14,255.46,1.0,255.73
0.8999999999999999,1.5,-1200.09,192.86,1.0,224.43
0.8999999999999999,2.0,-1527.96,255.02,1.0,255.51
0.8999999999999999,2.5,-1484.67,217.1,1.0,236.55
0.9999999999999999,0.0,-986.72,248.36,1.0,252.18
0.9999999999999999,0.5,-1152.0,256.0,1.0,256.0
0.9999999999999999,1.0,-1270.82,254.98,1.0,255.49
0.9999999999999999,1.5,-1394.4,254.4,1.0,255.2
0.9999999999999999,2.0,-1525.8,254.98,1.0,255.49
0.9999999999999999,2.5,-1654.13,255.06,1.0,255.53
1.0999999999999999,0.0,-1001.84,253.0,1.0,254.5
1.0999999999999999,0.5,-1115.87,249.5,1.0,252.75
1.0999999999999999,1.0,-1264.72,253.6,1.0,254.8
1.0999999999999999,1.5,-1367.94,250.68,1.0,253.34
1.0999999999999999,2.0,-1491.84,250.76,1.0,253.38
1.0999999999999999,2.5,-1645.21,253.86,1.0,254.93
1.1999999999999997,0.0,-974.88,244.48,1.0,250.24
1.1999999999999997,0.5,-1042.65,232.18,1.0,244.09
1.1999999999999997,1.0,-1197.5,238.7,1.0,247.35
1.1999999999999997,1.5,-1399.75,254.98,1.0,255.49
1.1999999999999997,2.0,-1499.52,251.76,1.0,253.88
1.1999999999999997,2.5,-1656.87,255.26,1.0,255.63
1.2999999999999998,0.0,-1013.76,254.64,1.0,255.32
1.2999999999999998,0.5,-1070.5,236.84,1.0,246.42
1.2999999999999998,1.0,-1266.96,254.48,1.0,255.24
1.2999999999999998,1.5,-1317.84,242.56,1.02,246.875
1.2999999999999998,2.0,-1442.24,238.28,1.0,247.14
1.2999999999999998,2.5,-1586.79,246.94,1.0,251.47
1.4,0.0,-936.08,234.92,1.0,245.46
1.4,0.5,-1090.7,248.28,1.0,252.14
1.4,1.0,-1232.82,249.46,1.0,252.73
1.4,1.5,-998.09,118.46,1.11,176.745
1.4,2.0,-1519.52,254.12,1.0,255.06
1.4,2.5,-1618.09,250.82,1.0,253.41
1.4999999999999998,0.0,-874.56,174.92,1.0,215.46
1.4999999999999998,0.5,-1078.05,245.7,1.0,250.85
1.4999999999999998,1.0,-1200.86,244.46,1.0,250.23
1.4999999999999998,1.5,-1324.49,245.18,1.0,250.59
1.4999999999999998,2.0,-1280.16,204.0,1.0,230.0
1.4999999999999998,2.5,-1317.38,182.6,1.0,219.3
1.5999999999999996,0.0,-764.64,159.98,1.49,173.3725
1.5999999999999996,0.5,-1019.05,232.18,1.0,244.09
1.5999999999999996,1.0,-1214.44,247.4,1.0,251.7
1.5999999999999996,1.5,-1281.06,237.72,1.0,246.86
1.5999999999999996,2.0,-1373.76,230.92,1.01,242.275
1.5999999999999996,2.5,-1324.03,197.26,1.0,226.63
1.6999999999999997,0.0,-922.32,239.04,1.0,247.52
1.6999999999999997,0.5,-1010.58,214.28,1.11,222.49
1.6999999999999997,1.0,-1120.06,224.54,1.0,240.27
1.6999999999999997,1.5,-1078.54,171.56,1.22,190.655
1.6999999999999997,2.0,-1417.48,242.42,1.0,249.21
1.6999999999999997,2.5,-1274.9,176.36,1.11,204.235
1.7999999999999998,0.0,-860.32,227.14,1.0,241.57
1.7999999999999998,0.5,-858.45,148.42,1.14,189.98833333333334
1.7999999999999998,1.0,-1202.12,245.08,1.0,250.54
1.7999999999999998,1.5,-1258.25,235.26,1.0,245.63
1.7999999999999998,2.0,-1421.72,243.54,1.0,249.77
1.7999999999999998,2.5,-1448.27,227.5,1.0,241.75
1.8999999999999997,0.0,-923.28,241.68,1.0,248.84
1.8999999999999997,0.5,-981.78,226.92,1.0,241.46
1.8999999999999997,1.0,-890.28,181.24,1.03,215.34
1.8999999999999997,1.5,-1096.84,194.32,1.07,217.39
1.8999999999999997,2.0,-1395.84,236.72,1.0,246.36
1.8999999999999997,2.5,-1408.67,223.5,1.0,239.75
1.9999999999999996,0.0,-925.92,239.4,1.0,247.7
1.9999999999999996,0.5,-973.52,223.52,1.0,239.76
1.9999999999999996,1.0,-1155.94,239.06,1.0,247.53
1.9999999999999996,1.5,-1162.26,222.2,1.0,239.1
1.9999999999999996,2.0,-1355.92,232.72,1.0,244.36
1.9999999999999996,2.5,-1235.7,188.2,1.0,222.1
